instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000200005,4.732600006,space,4.722300003,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,4.733,8.363700005,k,3.603400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,8.387600006,102.5669,l,14.1538,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,102.5676,105.1348,j,2.541300003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,105.135,108.9348,y,3.768199997,,,,,,,,,,,,,,,,,,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9492,117.8022,3,0,3.820600006,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.8054,124.4018,3,0,1.568199997,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4041,143.6189,2,1,14.17810001,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.622,156.186,3,1,7.526299995,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1892,169.6021,3,0,8.372800003,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,B07POSTSH,2024-11-18_10h35.25.976,listening1_tdcs_post,2024.2.2,MacIntel,62.11180124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.6026,171.5203,space,0.3875,
