instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000200005,6.428700005,space,6.412300003,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,6.429100006,8.412100006,k,1.955899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,8.433600006,97.1313,l,8.6665,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,97.1315,100.3819,j,3.240900002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,100.3821,102.515,y,2.113900002,,,,,,,,,,,,,,,,,,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5306,110.4979,1,1,2.936200005,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.5002,116.9489,3,1,1.418700005,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9516,123.7988,3,0,1.806099998,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.8014,136.982,2,1,8.137599998,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9844,155.8667,1,1,13.8679,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,A09POSTTR,2025-02-11_12h49.23.574,listening1_tdcs_post,2024.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.867,157.8671,space,0.468099998,
