instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,3.773900002,space,3.7635,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,3.774299995,6.989900002,k,3.1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,7.008299995,94.1428,l,7.116900002,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,94.1435,110.9603,j,16.8001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,110.9605,119.7939,y,8.804399994,,,,,,,,,,,,,,,,,,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8031,128.3276,1,1,3.488599998,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.3305,136.5263,3,0,3.154699997,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.5286,146.3609,3,0,4.8055,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.363,161.6107,3,1,10.2048,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.6132,175.5286,3,0,8.900300003,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motiivos románticos y financieros,1,,,,,
,,,,,B12POSTTR,2025-02-24_14h43.47.952,listening1_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.5289,181.0125,space,3.955299995,
