instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000200005,11.8061,space,11.7941,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,11.8064,15.3735,k,3.541400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,15.391,102.8931,l,7.487,,0,0,0,0,1,texto1.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,102.8939,109.8103,j,6.899299995,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,109.8104,114.4767,y,4.635900002,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4846,125.2608,1,1,5.736899994,,0,0,0,0,1,1) ¿Con qué sorprendió Bea al hombre?,1. Su llegada,2. Su ida,3. Su pareja,1,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.2631,133.5608,3,0,3.266799995,,0,1,1,1,1,2) ¿Dónde deciden tomar algo?,1. En un bar,2. En un restaurante,3. En un café,1,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.5631,142.9602,3,0,4.357900002,,0,2,2,2,1,3) ¿Cuál es la noticia sobre Ana?,1. Hará una fiesta,2. Se casará,3. Tiene un novio en México,2,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.9624,153.1944,2,0,5.2065,,0,3,3,3,1,4) ¿Hace cuánto que sale Ana con su novio?,1. Seis meses,2. Un año y medio,3. Doce meses,3,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.1966,172.5786,3,0,14.3406,,0,4,4,4,1,5) ¿Qué hace que el hombre no pueda ir a la boda?,1. Motivos financieros y psicológicos,2. Motivos psicológicos y románticos,3. Motivos románticos y financieros,1,,,,,
,,,,,J05PRETR,2025-03-11_11h25.39.663,listening1_tdcs_pre,2024.2.2,MacIntel,62.89308176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.579,175.9286,space,1.816199997,
