instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,9.007199997,space,8.996399994,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,9.007599998,11.07339999,k,2.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,11.0963,190.296,l,99.1705,,0,0,0,0,1,texto2.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,190.2967,197.0452,j,6.738300003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,197.0453,199.9953,y,2.9205,,,,,,,,,,,,,,,,,,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0044,206.6634,3,0,1.624699997,,0,0,0,0,1,1) ¿Cuánto tiempo ha vivido Juli en España?,1. Dos años,2. Trece años,3. Tres años,2,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6666,215.8631,1,1,4.159700005,,0,1,1,1,1,2) ¿En dónde vivían inicialmente Juli y su familia?,1. Caravanas,2. Hostales,3. Hoteles,1,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.8665,227.3801,2,1,6.470699997,,0,2,2,2,1,3) ¿De qué trabajan Juli y su esposo?,1. Rescatistas de montaña,2. Instructores de esquí,3. Guías turísticos de montaña,2,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.3825,237.547,1,1,5.1325,,0,3,3,3,1,4) ¿Cómo describe Juli el esquí?,1. Una forma de meditación,2. Solo un poco más difícil que caminar,3. Como volar,1,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5491,251.1313,3,0,8.538200005,,0,4,4,4,1,5) ¿Qué pasatiempo tiene Juli?,1. Tejer,2. Dibujar,3. Bordar,1,,,,,
,,,,,A03POSTSH,2024-10-24_15h59.46.022,listening2_tdcs_post,2024.2.2,MacIntel,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.1317,253.5151,space,0.863700005,
