instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000300003,9.807300003,space,9.785099998,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,9.807700005,11.9238,k,2.081699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,11.94760001,192.3624,l,100.3898,,0,0,0,0,1,texto2.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,192.363,194.2963,j,1.924,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,194.2966,197.83,y,3.505699997,,,,,,,,,,,,,,,,,,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.8389,205.9804,2,1,3.106200005,,0,0,0,0,1,1) ¿Cuánto tiempo ha vivido Juli en España?,1. Dos años,2. Trece años,3. Tres años,2,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.9828,217.3304,3,0,6.305,,0,1,1,1,1,2) ¿En dónde vivían inicialmente Juli y su familia?,1. Caravanas,2. Hostales,3. Hoteles,1,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.3325,225.33,2,1,2.958599998,,0,2,2,2,1,3) ¿De qué trabajan Juli y su esposo?,1. Rescatistas de montaña,2. Instructores de esquí,3. Guías turísticos de montaña,2,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.3324,235.3312,1,1,4.972699997,,0,3,3,3,1,4) ¿Cómo describe Juli el esquí?,1. Una forma de meditación,2. Solo un poco más difícil que caminar,3. Como volar,1,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.3339,242.9481,1,1,2.572300003,,0,4,4,4,1,5) ¿Qué pasatiempo tiene Juli?,1. Tejer,2. Dibujar,3. Bordar,1,,,,,
,,,,,B13POSTTR,2025-02-25_19h08.20.472,listening2_tdcs_post,2024.2.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.9484,245.1975,space,0.719399994,
