instructions.started,instructions.stopped,responseinstructions.keys,responseinstructions.rt,responseinstructions.duration,participant,date,expName,psychopyVersion,OS,frameRate,RUReady.started,RUReady.stopped,responseready.keys,responseready.rt,responseready.duration,Audio.started,Audio.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,audiolistening,corrans,instructions_2.started,instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions_3.started,instructions_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,questionslistening.started,questionslistening.stopped,respuestaquestions.keys,respuestaquestions.corr,respuestaquestions.rt,respuestaquestions.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,questions,option1,option2,option3,CorrAns,Thanks_2.started,Thanks_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration
0.000199997,3.020199997,space,2.9985,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,3.020600006,6.753300003,k,3.716300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,6.776399994,185.1916,l,98.39209999,,0,0,0,0,1,texto2.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,185.1924,190.876,j,5.660799988,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,190.8762,195.5932,y,4.699400009,,,,,,,,,,,,,,,,,,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.6031,203.8927,2,1,3.252800003,,0,0,0,0,1,1) ¿Cuánto tiempo ha vivido Juli en España?,1. Dos años,2. Trece años,3. Tres años,2,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.8958,215.6105,2,0,6.685300003,,0,1,1,1,1,2) ¿En dónde vivían inicialmente Juli y su familia?,1. Caravanas,2. Hostales,3. Hoteles,1,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.6129,223.727,1,0,3.071,,0,2,2,2,1,3) ¿De qué trabajan Juli y su esposo?,1. Rescatistas de montaña,2. Instructores de esquí,3. Guías turísticos de montaña,2,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.7296,231.0773,1,1,2.306399994,,0,3,3,3,1,4) ¿Cómo describe Juli el esquí?,1. Una forma de meditación,2. Solo un poco más difícil que caminar,3. Como volar,1,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0801,242.4433,3,0,6.323899994,,0,4,4,4,1,5) ¿Qué pasatiempo tiene Juli?,1. Tejer,2. Dibujar,3. Bordar,1,,,,,
,,,,,J05POSTTR,2025-03-14_14h43.23.196,listening2_tdcs_post,2024.2.2,MacIntel,57.80346821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.4436,244.5449,space,0.583800003,
