"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","2","0.0-0.0","B05POSTSH","POST","","","","","","","","","","",""
"fullscreen","1","3112","0.0-1.0","B05POSTSH","POST","true","","","","","","","","","",""
"survey-html-form","2","17845","0.0-2.0","B05POSTSH","POST","","14067.799995422363","{""userID"":""B05POSTSH"",""type"":""POST""}","userID","","","","","","",""
"html-keyboard-response","3","28246","0.0-3.0","B05POSTSH","POST","","9737","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","29061","0.0-4.0","B05POSTSH","POST","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","30850","0.0-5.0","B05POSTSH","POST","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","32639","0.0-6.0","B05POSTSH","POST","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","34428","0.0-7.0","B05POSTSH","POST","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","39743","0.0-8.0","B05POSTSH","POST","","4648.199996948242","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","41578","0.0-9.0","B05POSTSH","POST","","1171.8000030517578","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","42392","0.0-10.0","B05POSTSH","POST","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","44181","0.0-11.0","B05POSTSH","POST","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","45971","0.0-12.0","B05POSTSH","POST","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
