"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","2","0.0-0.0","SO1PRESH","PRE","","","","","","","","","","",""
"fullscreen","1","3368","0.0-1.0","SO1PRESH","PRE","true","","","","","","","","","",""
"survey-html-form","2","11319","0.0-2.0","SO1PRESH","PRE","","7284.099998474121","{""userID"":""SO1PRESH"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","30330","0.0-3.0","SO1PRESH","PRE","","18347.90000152588","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","31145","0.0-4.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","32935","0.0-5.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","34724","0.0-6.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","36513","0.0-7.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","42018","0.0-8.0","SO1PRESH","PRE","","4837.299995422363","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","44511","0.0-9.0","SO1PRESH","PRE","","1829.099998474121","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","45325","0.0-10.0","SO1PRESH","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","47114","0.0-11.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","48902","0.0-12.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","50692","0.0-13.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","52481","0.0-14.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","54271","0.0-15.0","SO1PRESH","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
