"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","2","0.0-0.0","A09POSTTR","POST","","","","","","","","","","",""
"fullscreen","1","3374","0.0-1.0","A09POSTTR","POST","true","","","","","","","","","",""
"survey-html-form","2","29540","0.0-2.0","A09POSTTR","POST","","25501.90000152588","{""userID"":""A09POSTTR"",""type"":""POST""}","userID","","","","","","",""
"html-keyboard-response","3","37007","0.0-3.0","A09POSTTR","POST","","6803.400001525879","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","37821","0.0-4.0","A09POSTTR","POST","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","39610","0.0-5.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","41399","0.0-6.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","43189","0.0-7.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","47656","0.0-8.0","A09POSTTR","POST","","3801","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","49695","0.0-9.0","A09POSTTR","POST","","1376.1000061035156","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","50508","0.0-10.0","A09POSTTR","POST","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","52297","0.0-11.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","54087","0.0-12.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","55875","0.0-13.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","57664","0.0-14.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","59454","0.0-15.0","A09POSTTR","POST","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","63538","0.0-16.0","A09POSTTR","POST","","3420.300003051758","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","65690","0.0-17.0","A09POSTTR","POST","","1488","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","66503","0.0-18.0","A09POSTTR","POST","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
