"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","3","0.0-0.0","J05PRETR","PRE","","","","","","","","","","",""
"fullscreen","1","3577","0.0-1.0","J05PRETR","PRE","true","","","","","","","","","",""
"survey-html-form","2","12346","0.0-2.0","J05PRETR","PRE","","8104.400001525879","{""userID"":""J05PRETR"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","29558","0.0-3.0","J05PRETR","PRE","","16549.09999847412","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","30372","0.0-4.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","32162","0.0-5.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","33952","0.0-6.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","35742","0.0-7.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","42458","0.0-8.0","J05PRETR","PRE","","6049.199996948242","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","44235","0.0-9.0","J05PRETR","PRE","","1113","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","45049","0.0-10.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","46838","0.0-11.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","48626","0.0-12.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","50415","0.0-13.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","52205","0.0-14.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","53993","0.0-15.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","60143","0.0-16.0","J05PRETR","PRE","","5485.400001525879","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","61961","0.0-17.0","J05PRETR","PRE","","1154.8999938964844","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","62773","0.0-18.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","19","64562","0.0-19.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">5</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","20","66352","0.0-20.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">7</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","21","68141","0.0-21.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","22","69929","0.0-22.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","23","71718","0.0-23.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","24","73506","0.0-24.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","25","75295","0.0-25.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","26","77083","0.0-26.0","J05PRETR","PRE","","null","","practice display digit","<div class=""stimulus"">6</div>","null","5,7,1,9,4,2,3,6","","","",""
"survey-html-form-autofocus","27","83009","0.0-27.0","J05PRETR","PRE","","5261.100006103516","{""recall"":""8219""}","practice recall","","","57194236","","4236","",""
"html-keyboard-response","28","90092","0.0-28.0","J05PRETR","PRE","","6420.799995422363","","","<p>The sequence was 57194236					and you input 8219.<br/>					<span class='incorrect'>You should have written 4236.</span></p>						<p>Press SPACE to continue</p>","32","","","","",""
"html-keyboard-response","29","96449","0.0-29.0","J05PRETR","PRE","","6344.399993896484","","","<p>That was the practice section.<br/>			<p>Now goes the official part of the task.<br/>			You won't be given any feedback on your performance.</p>			<p>R U ready?</p>			<p>[Press Y to begin]</p>","89","","","","",""
"html-keyboard-response","30","97912","0.0-30.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","31","99701","0.0-31.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","4",""
"html-keyboard-response","32","101491","0.0-32.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","0",""
"html-keyboard-response","33","103280","0.0-33.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","6",""
"html-keyboard-response","34","105069","0.0-34.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","1",""
"html-keyboard-response","35","106858","0.0-35.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","2",""
"html-keyboard-response","36","108647","0.0-36.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","9",""
"html-keyboard-response","37","110436","0.0-37.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","7",""
"html-keyboard-response","38","112225","0.0-38.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","4",""
"html-keyboard-response","39","114014","0.0-39.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","1",""
"html-keyboard-response","40","115803","0.0-40.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","2",""
"html-keyboard-response","41","117593","0.0-41.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","4,0,6,1,2,9,7,4,1,2,5","","","5",""
"survey-html-form-autofocus","42","121492","0.0-42.0","J05PRETR","PRE","","3235.099998474121","{""recall"":""2""}","recall","","","40612974125","2","5","","false"
"html-keyboard-response","43","122957","0.0-43.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","44","124745","0.0-44.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,4,3,1","","","5",""
"html-keyboard-response","45","126534","0.0-45.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","5,4,3,1","","","4",""
"html-keyboard-response","46","128323","0.0-46.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","5,4,3,1","","","3",""
"html-keyboard-response","47","130110","0.0-47.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","5,4,3,1","","","1",""
"survey-html-form-autofocus","48","133443","0.0-48.0","J05PRETR","PRE","","2667.7000045776367","{""recall"":""1""}","recall","","","5431","1","1","","true"
"html-keyboard-response","49","134907","0.0-49.0-0.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","50","136696","0.0-49.0-1.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","0,7,1","","","0",""
"html-keyboard-response","51","138485","0.0-49.0-2.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","0,7,1","","","7",""
"html-keyboard-response","52","140273","0.0-49.0-3.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","0,7,1","","","1",""
"survey-html-form-autofocus","53","143892","0.0-49.0-4.0","J05PRETR","PRE","","2954.2999954223633","{""recall"":""71""}","recall","","","071","71","71","","true"
"html-keyboard-response","54","145356","0.0-49.0-5.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","55","147145","0.0-49.0-6.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","1,5,7,1,9","","","1",""
"html-keyboard-response","56","148933","0.0-49.0-7.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","1,5,7,1,9","","","5",""
"html-keyboard-response","57","150723","0.0-49.0-8.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","1,5,7,1,9","","","7",""
"html-keyboard-response","58","152512","0.0-49.0-9.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","1,5,7,1,9","","","1",""
"html-keyboard-response","59","154301","0.0-49.0-10.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","1,5,7,1,9","","","9",""
"survey-html-form-autofocus","60","157341","0.0-49.0-11.0","J05PRETR","PRE","","2375.099998474121","{""recall"":""19""}","recall","","","15719","19","19","","true"
"html-keyboard-response","61","158806","0.0-49.0-12.0-0.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","62","160595","0.0-49.0-12.0-1.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","3",""
"html-keyboard-response","63","162384","0.0-49.0-12.0-2.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","4",""
"html-keyboard-response","64","164173","0.0-49.0-12.0-3.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","1",""
"html-keyboard-response","65","165962","0.0-49.0-12.0-4.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","3",""
"html-keyboard-response","66","167752","0.0-49.0-12.0-5.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","6",""
"html-keyboard-response","67","169540","0.0-49.0-12.0-6.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","9",""
"html-keyboard-response","68","171329","0.0-49.0-12.0-7.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","0",""
"html-keyboard-response","69","173119","0.0-49.0-12.0-8.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","8",""
"html-keyboard-response","70","174907","0.0-49.0-12.0-9.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","3",""
"html-keyboard-response","71","176696","0.0-49.0-12.0-10.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","9",""
"html-keyboard-response","72","178485","0.0-49.0-12.0-11.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","1",""
"html-keyboard-response","73","180274","0.0-49.0-12.0-12.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">6</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","6",""
"html-keyboard-response","74","182061","0.0-49.0-12.0-13.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","3,4,1,3,6,9,0,8,3,9,1,6,0","","","0",""
"survey-html-form-autofocus","75","190026","0.0-49.0-12.0-14.0","J05PRETR","PRE","","7300.400001525879","{""recall"":""360""}","recall","","","3413690839160","360","160","","false"
"html-keyboard-response","76","191490","0.0-49.0-12.0-15.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","77","193278","0.0-49.0-12.0-16.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","0,4,9","","","0",""
"html-keyboard-response","78","195068","0.0-49.0-12.0-17.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","0,4,9","","","4",""
"html-keyboard-response","79","196857","0.0-49.0-12.0-18.0","J05PRETR","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","0,4,9","","","9",""
"survey-html-form-autofocus","80","200693","0.0-49.0-12.0-19.0","J05PRETR","PRE","","3173.599998474121","{""recall"":""049""}","recall","","","049","049","049","","true"
"html-keyboard-response","81","202157","0.0-49.0-12.0-20.0-0.0","J05PRETR","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
